centreline_id,segment_length,crash_count,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct,log_volume,crash_rate,exposure,log_exposure
914601,131.75229821301406,0,460.5,460.5,,33.0,41.0,34.5,43.1,47.6,,6.132312855695361,0.0,60671.93332709297,11.013236486706734
11070060,96.98617580681427,0,1550.0,1550.0,,165.0,122.0,47.0,56.8,63.2,,7.346010209913293,0.0,150328.57250056212,11.920578660804575
914856,8.646818219822709,51,10374.0,10374.0,,1276.0,631.0,,,,,9.247057954911346,5898.12329847333,89702.09221244078,11.404249372328284
7370298,195.5942102732496,0,403.3,403.3,,36.0,59.0,38.7,47.7,56.8,,5.999680701879322,0.0,78883.14500320156,11.275722859211944
20090013,43.35629082716165,0,3907.0,3907.0,,195.0,328.0,31.2,38.2,42.3,,8.27052509505507,0.0,169393.02826172058,12.039976904873374
7399196,264.59739725108466,0,8468.0,8468.0,,618.0,657.0,58.3,68.2,73.8,,9.044049632254756,0.0,2240610.759922185,14.622259047345603
913880,210.24503193724377,0,10369.6,11414.6,7757.0,823.0,862.0,,,,,9.246633727673451,0.0,2180156.883176443,14.594907396935769
914176,52.78531268932201,0,822.0,822.0,,65.0,90.0,25.0,36.9,42.9,,6.71174039505618,0.0,43389.527030622696,10.67797337830945
914070,259.2131824760196,0,1823.5,1823.5,,136.0,156.0,43.6,52.6,57.7,,7.508513010248735,0.0,472675.2382450217,13.066163831751592
914210,252.84489729903345,0,2095.0,2095.0,,195.0,254.0,43.4,51.2,54.7,,7.647308832356238,0.0,529710.0598414751,13.180085078935205
914156,98.7012733809883,0,2068.0,2068.0,,182.0,195.0,41.2,48.5,53.1,,7.63433723562832,0.0,204114.2333518838,12.226435083514302
914143,98.19942777219242,0,1509.3,1509.3,,109.0,123.0,40.4,47.9,52.8,,7.319401246165382,0.0,148212.39633657,11.90640163434174
14302117,104.4216611680384,0,4158.3,4158.3,,320.0,364.0,44.0,52.0,57.1,,8.332861615887417,0.0,434216.5936350541,12.981298752266923
14301804,45.49116330207891,82,3889.3,3889.3,,294.0,376.0,45.1,53.1,58.0,,8.265984471833685,1802.547880683734,176928.7814307755,12.083502565787652
