centreline_id,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct
117,92.0,92.0,,6.0,17.0,29.2,41.6,49.2,
127,3097.0,3097.0,,281.0,333.0,33.4,42.4,46.6,
131,2879.0,2879.0,,258.0,304.0,38.0,47.5,52.2,
140,12015.3,12015.3,,914.0,809.0,,,,
142,2784.0,2784.0,,186.0,315.0,39.5,47.2,51.4,
150,1272.0,1272.0,,113.0,161.0,40.2,47.7,51.7,
161,2072.0,2072.0,,158.0,206.0,35.5,46.5,49.9,
163,2937.0,2937.0,,287.0,333.0,41.5,49.1,54.0,
169,4458.0,4458.0,,389.0,415.0,33.5,39.1,43.1,
170,104.0,104.0,,8.0,15.0,29.4,41.1,44.9,
175,3484.0,3484.0,,296.0,376.0,35.2,42.9,47.2,
180,4005.0,4005.0,,325.0,380.0,33.3,39.4,43.5,
187,18273.0,18273.0,,1186.0,1298.0,55.7,64.4,69.9,
190,5193.0,5193.0,,497.0,537.0,,,,
193,3775.0,3775.0,,323.0,353.0,33.6,38.9,42.7,
201,476.7,476.7,,41.0,40.0,34.8,44.9,52.2,
202,349.3,349.3,,22.0,27.0,32.4,38.6,43.5,
203,5065.7,5065.7,,432.0,475.0,29.6,36.1,39.5,
206,1687.0,1687.0,,148.0,152.0,30.1,37.0,39.6,
211,12344.0,12344.0,,670.0,1054.0,,,,
214,2851.7,2851.7,,169.0,233.0,,,,
217,3652.3,3652.3,,262.0,311.0,28.8,34.3,38.2,
222,1825.3,1825.3,,162.0,169.0,31.7,38.4,41.7,
228,7635.6,7861.3,6733.0,504.0,678.0,28.4,34.2,38.5,
229,429.0,429.0,,44.0,41.0,36.7,44.3,49.1,
230,12074.3,12074.3,,955.0,812.0,,,,
234,1760.7,1760.7,,161.0,153.0,32.1,38.6,42.4,
237,888.0,888.0,,89.0,76.0,34.2,42.7,47.5,
241,3950.0,3950.0,,315.0,385.0,29.0,34.3,38.3,
242,19603.3,19603.3,,1663.0,1669.0,,,,
246,2678.5,2678.5,,231.0,218.0,,,,
250,1494.0,1494.0,,112.0,169.0,34.6,39.9,44.5,
253,2406.0,2406.0,,203.0,235.0,32.6,38.4,41.9,
256,14055.7,14055.7,,765.0,1122.0,44.1,52.2,57.5,
267,16984.0,16984.0,,1249.0,1367.0,,,,
270,16422.0,16422.0,,1538.0,1240.0,,,,
273,2588.3,2588.3,,373.0,152.0,,,,
274,1139.0,1139.0,,162.0,127.0,33.7,43.9,48.9,
278,793.7,793.7,,55.0,73.0,34.3,39.8,44.2,
280,345.5,345.5,,45.0,39.0,33.6,43.9,49.6,
284,39846.7,39846.7,,2721.0,2930.0,,,,
285,1515.3,1515.3,,280.0,179.0,38.9,47.2,53.5,
287,12630.0,12630.0,,986.0,828.0,57.3,65.0,73.2,
293,2930.7,2930.7,,211.0,267.0,32.4,38.9,43.0,
297,1378.0,1378.0,,173.0,159.0,39.7,47.7,52.7,
298,2422.7,2422.7,,173.0,199.0,28.0,37.7,42.2,
304,20303.0,20303.0,,1329.0,1494.0,,,,
305,2786.3,2786.3,,244.0,221.0,31.1,38.4,42.4,
316,254.0,254.0,,9.0,43.0,,,,
318,305.0,305.0,,27.0,32.0,30.2,38.1,42.4,
323,1522.0,1522.0,,255.0,163.0,38.4,46.5,49.8,
324,1499.0,1499.0,,253.0,180.0,38.9,47.1,53.0,
326,4511.7,4511.7,,310.0,406.0,34.3,39.9,44.3,
329,2265.3,2265.3,,113.0,248.0,,,,
330,6588.3,6588.3,,488.0,481.0,,,,
337,22574.0,22574.0,,1596.0,1738.0,,,,
344,987.0,987.0,,132.0,98.0,37.5,46.7,51.5,
347,2328.0,2328.0,,265.0,229.0,24.5,31.9,34.7,
349,219.0,219.0,,15.0,20.0,35.9,46.7,51.0,
350,875.0,875.0,,44.0,86.0,33.0,49.0,54.4,
372,774.0,774.0,,112.0,93.0,39.0,47.7,52.5,
377,1488.3,1488.3,,95.0,191.0,44.1,52.5,57.9,
378,155.7,155.7,,9.0,17.0,30.7,43.6,48.9,
379,500.3,500.3,,72.0,66.0,33.2,39.6,44.2,
384,1030.0,1030.0,,81.0,109.0,,,,0.035
391,2136.0,2136.0,,241.0,241.0,33.6,39.2,43.2,
406,2365.0,2365.0,,160.0,236.0,32.4,38.5,43.1,
410,3636.0,3636.0,,399.0,392.0,38.6,45.0,49.5,
414,11782.1,12000.6,11236.0,686.0,1031.0,,,,
415,11427.6,11956.4,10766.5,740.0,1005.0,,,,
417,1254.0,1254.0,,120.0,110.0,,,,0.034
426,5087.7,5087.7,,327.0,458.0,,,,
427,2426.0,2426.0,,216.0,280.0,36.0,43.6,48.5,
429,1212.0,1212.0,,104.0,100.0,39.1,47.7,52.8,
432,6813.0,6813.0,,512.0,656.0,,,,
444,15776.9,15546.6,16352.5,1118.0,1075.0,,,,
478,1219.3,1219.3,,62.0,158.0,35.2,42.9,48.0,
487,11568.0,11568.0,,1160.0,760.0,,,,
493,14497.0,14497.0,,1230.0,1262.0,,,,
494,3294.3,3294.3,,349.0,314.0,34.9,43.8,48.9,
500,17378.0,17378.0,,1100.0,1272.0,,,,
508,765.3,765.3,,50.0,103.0,38.5,47.7,52.7,
516,480.7,480.7,,48.0,62.0,27.4,38.9,43.3,
524,304.0,304.0,,23.0,41.0,29.6,42.2,47.6,
529,918.7,918.7,,87.0,90.0,31.7,38.6,42.0,
532,580.0,580.0,,58.0,63.0,,,,0.045
534,9425.7,9425.7,,557.0,819.0,,,,
536,11126.7,11126.7,,642.0,1057.0,,,,
538,1347.0,1347.0,,129.0,131.0,38.9,46.1,49.4,
540,12915.0,12915.0,,901.0,1057.0,,,,
548,24554.0,24554.0,,1951.0,1624.0,49.5,57.9,63.0,
551,392.3,392.3,,36.0,36.0,,,,
566,1151.0,1151.0,,57.0,91.0,38.1,49.7,54.7,
570,1503.7,1503.7,,170.0,165.0,31.0,37.8,40.0,
571,935.3,935.3,,87.0,88.0,35.0,42.5,47.1,
592,250.3,250.3,,17.0,25.0,,,,
605,1139.0,1139.0,,132.0,122.0,31.5,39.4,44.2,
609,1779.3,1779.3,,201.0,179.0,30.1,37.0,39.7,
610,601.7,601.7,,83.0,69.0,29.6,36.9,39.8,
613,1738.0,1738.0,,148.0,167.0,39.6,47.1,49.7,
637,1458.0,1458.0,,162.0,189.0,37.8,44.7,49.3,
649,22175.7,22175.7,,1305.0,1659.0,,,,
654,19364.6,18737.4,20932.5,1229.0,1650.0,,,,
656,3006.0,3006.0,,197.0,227.0,39.8,46.9,51.3,
672,799.0,799.0,,65.0,83.0,33.6,41.5,44.8,
673,1334.7,1334.7,,214.0,139.0,35.3,43.5,48.3,
677,1400.7,1400.7,,170.0,158.0,33.6,41.5,44.7,
680,4572.0,4572.0,,438.0,353.0,,,,
681,3221.7,3221.7,,326.0,253.0,,,,
686,6893.3,6893.3,,443.0,597.0,34.0,41.9,47.4,
695,7112.7,7112.7,,624.0,725.0,32.7,39.3,43.7,
701,225.0,225.0,,12.0,20.0,,,,
712,1980.0,1980.0,,148.0,179.0,38.1,44.8,49.0,
715,6917.7,6917.7,,603.0,657.0,32.8,39.4,43.7,
725,899.3,899.3,,78.0,87.0,38.3,46.1,49.6,
726,993.7,993.7,,75.0,87.0,33.5,40.0,44.5,
736,1821.7,1821.7,,175.0,238.0,40.5,51.2,61.7,
763,1053.5,1053.5,,79.0,97.0,32.5,43.6,48.3,
766,3074.3,3074.3,,220.0,331.0,,,,
774,9642.7,9642.7,,687.0,931.0,,,,
791,5825.0,5825.0,,438.0,488.0,35.7,43.1,47.6,
792,746.0,746.0,,61.0,85.0,34.5,41.3,44.7,
798,254.0,254.0,,21.0,24.0,34.7,47.1,52.7,
807,5921.0,5921.0,,564.0,590.0,40.5,47.6,49.9,
820,28961.0,28961.0,,2265.0,2328.0,,,,
832,904.0,904.0,,70.0,122.0,34.1,41.7,44.9,
836,659.3,659.3,,60.0,62.0,36.9,45.0,49.7,
841,19440.0,19440.0,,1434.0,1659.0,,,,
847,22020.0,22020.0,,1419.0,1786.0,59.5,67.0,71.8,
851,1669.0,1669.0,,169.0,204.0,40.2,48.5,53.2,
872,802.0,802.0,,75.0,93.0,34.9,43.0,47.3,
873,1390.3,1390.3,,136.0,147.0,31.6,38.6,42.3,
883,6090.7,6090.7,,525.0,546.0,35.6,42.3,46.0,
884,12864.3,12864.3,,1327.0,895.0,,,,
899,1405.0,1405.0,,153.0,140.0,29.0,35.0,39.4,
939,16596.7,16596.7,,826.0,1360.0,,,,
941,18833.3,18833.3,,1350.0,1485.0,38.0,48.4,53.2,
949,413.0,413.0,,31.0,35.0,30.7,41.6,49.4,
970,11041.3,11041.3,,746.0,812.0,38.4,44.0,48.4,
996,898.4,1116.0,354.5,148.0,148.0,32.8,41.1,46.5,
1003,3617.0,3617.0,,236.0,271.0,,,,
1006,354.3,354.3,,33.0,39.0,29.4,37.4,39.8,
1012,17026.7,17026.7,,793.0,1434.0,,,,
1013,4667.0,4667.0,,381.0,489.0,35.0,41.6,44.7,
1025,340.0,340.0,,16.0,39.0,27.4,36.6,41.5,
1034,15311.3,15311.3,,1041.0,1126.0,50.0,59.6,66.5,
1047,39286.7,39286.7,,2498.0,2545.0,,,,
1049,9319.0,9319.0,,735.0,670.0,38.2,48.1,52.6,
1050,749.0,749.0,,73.0,105.0,37.8,46.9,51.6,
1062,19537.0,19537.0,,1520.0,1118.0,,,,
1065,306.3,306.3,,26.0,56.0,35.9,44.0,49.3,
1069,2944.3,2944.3,,343.0,211.0,,,,
1076,17879.7,17879.7,,786.0,1622.0,,,,
1083,507.0,507.0,,62.0,57.0,29.2,37.0,39.6,
1090,759.0,759.0,,47.0,160.0,30.5,38.2,42.8,
1092,5333.7,5333.7,,387.0,618.0,,,,
1097,867.3,867.3,,52.0,130.0,36.3,44.4,49.5,
1104,613.0,613.0,,31.0,76.0,20.0,28.2,31.6,
1106,758.3,758.3,,41.0,69.0,,,,
1111,1057.0,1057.0,,87.0,91.0,38.1,46.8,51.4,
1115,37530.3,37530.3,,2054.0,2441.0,46.8,57.3,62.2,
1123,11327.0,11327.0,,844.0,888.0,,,,
1136,704.0,704.0,,55.0,85.0,39.2,49.3,55.0,
1151,12982.3,12982.3,,987.0,1433.0,,,,
1152,18847.3,19509.8,17191.0,1817.0,1218.0,,,,
1155,1520.3,1520.3,,119.0,185.0,,,,
1162,402.7,402.7,,33.0,56.0,32.2,41.4,47.0,
1164,18171.1,18968.4,16178.0,1570.0,1083.0,,,,
1178,3514.3,3514.3,,418.0,261.0,,,,
1181,307.3,307.3,,15.0,30.0,25.1,31.7,34.2,
1185,15080.3,15080.3,,961.0,1052.0,50.3,59.7,66.8,
1229,15667.0,15667.0,,1050.0,1356.0,44.6,53.1,58.0,
1233,826.0,826.0,,83.0,80.0,29.1,36.0,39.0,
1245,581.5,581.5,,51.0,56.0,38.2,47.9,52.6,
1256,15013.7,15013.7,,1638.0,1146.0,,,,
1258,8688.0,8688.0,,801.0,751.0,39.7,47.6,51.4,
1261,605.0,605.0,,38.0,61.0,34.7,43.8,48.4,
1273,8123.7,8123.7,,727.0,618.0,,,,
1277,538.0,538.0,,34.0,97.0,39.4,48.7,53.3,
1283,719.0,719.0,,38.0,65.0,36.2,46.1,49.9,
1289,33764.3,33764.3,,2489.0,2372.0,49.1,57.3,61.7,
1293,3698.0,3698.0,,166.0,295.0,36.9,43.4,47.7,
1298,400.5,400.5,,35.0,51.0,35.2,43.6,48.5,
1312,529.0,529.0,,32.0,63.0,31.7,39.6,46.4,
1316,13144.0,13144.0,,1196.0,839.0,,,,
1320,265.0,265.0,,31.0,20.0,30.9,41.3,46.9,
1324,3793.3,3793.3,,299.0,341.0,30.9,38.4,42.9,
1328,13749.3,13749.3,,952.0,1569.0,,,,
1330,738.0,738.0,,83.0,75.0,31.5,39.1,43.5,
1331,8017.7,8017.7,,579.0,570.0,,,,
1333,143.0,143.0,,14.0,15.0,31.0,42.1,49.1,
1340,539.7,539.7,,36.0,49.0,34.6,44.0,49.2,
1346,247.0,247.0,,23.0,29.0,27.6,37.8,43.7,
1354,8328.7,8328.7,,445.0,702.0,,,,
1364,3347.5,3347.5,,361.0,296.0,35.2,42.9,46.7,
1366,5224.0,5224.0,,667.0,340.0,,,,
1377,8413.7,8413.7,,617.0,561.0,,,,
1382,595.7,595.7,,33.0,68.0,31.8,41.1,44.9,
1386,949.0,949.0,,119.0,147.0,35.4,42.6,46.5,
1392,140.0,140.0,,12.0,15.0,31.2,39.0,43.8,
1395,6673.7,6673.7,,353.0,700.0,,,,
1409,919.3,919.3,,92.0,110.0,33.8,42.5,46.8,
1413,5252.7,5252.7,,285.0,602.0,,,,
1426,1177.7,1177.7,,163.0,151.0,36.7,44.3,49.1,
1431,623.7,623.7,,61.0,67.0,37.7,47.9,53.1,
